product_name,price,category,location,description
Running Shoes,94.77,Shoes,Chicago,"High-quality Running Shoes designed for comfort and performance, with breathable material and durable soles. Ideal for athletes and casual runners."
Trail Shoes,140.15,Shoes,Chicago,Sturdy Trail Shoes with excellent grip and waterproof features. Perfect for trail running and outdoor adventures.
Casual Sneakers,154.92,Shoes,Phoenix,"Stylish Casual Sneakers suitable for everyday wear, with a comfortable fit and modern design."
Formal Shoes,164.65,Shoes,Houston,"Elegant Formal Shoes made from premium leather, offering a sophisticated look and great comfort."
Hiking Boots,147.79,Shoes,San Diego,Durable Hiking Boots with ankle support and rugged soles. Ideal for hiking and outdoor activities.
Sports Sneakers,111.87,Shoes,Philadelphia,Lightweight Sports Sneakers designed for maximum agility and speed. Perfect for various sports.
Walking Shoes,190.89,Shoes,New York,Comfortable Walking Shoes with cushioned insoles and breathable fabric. Ideal for long walks and everyday use.
Dress Shoes,124.95,Shoes,Philadelphia,Classic Dress Shoes with a sleek design and premium finish. Perfect for formal occasions.
Slip-on Shoes,85.91,Shoes,Philadelphia,Convenient Slip-on Shoes with easy on and off design. Comfortable and versatile for everyday wear.
Sandals,123.61,Shoes,Philadelphia,Comfortable Sandals with adjustable straps and cushioned soles. Perfect for casual wear in warm weather.
High Heels,129.43,Shoes,Phoenix,Elegant High Heels with a stylish design and comfortable fit. Ideal for parties and formal events.
Loafers,104.41,Shoes,Philadelphia,Versatile Loafers with a timeless design and comfortable fit. Suitable for both casual and formal wear.
Flip Flops,134.58,Shoes,Chicago,Easy-to-wear Flip Flops with comfortable soles. Perfect for beachwear and casual outings.
Boots,109.91,Shoes,San Diego,Rugged Boots with a durable design and excellent traction. Suitable for outdoor and casual wear.
Ankle Boots,195.54,Shoes,Los Angeles,Stylish Ankle Boots with a modern design and comfortable fit. Perfect for casual and semi-formal wear.
Tennis Shoes,86.4,Shoes,San Antonio,High-performance Tennis Shoes with excellent grip and support. Ideal for tennis and other court sports.
Basketball Shoes,59.14,Shoes,Phoenix,Durable Basketball Shoes with great ankle support and cushioning. Perfect for basketball players.
Skate Shoes,150.34,Shoes,Los Angeles,Trendy Skate Shoes with a durable design and good grip. Suitable for skateboarding and casual wear.
Climbing Shoes,95.81,Shoes,New York,Specialized Climbing Shoes with excellent grip and snug fit. Ideal for rock climbing and bouldering.
Golf Shoes,157.48,Shoes,New York,Premium Golf Shoes with waterproof design and great traction. Perfect for golfers.
