product_name,price,category,location,description
Backpack,61.13,Bags,New York,"Durable Backpack with multiple compartments, ideal for school, work, and travel. Comfortable straps and ample storage."
Messenger Bag,136.33,Bags,San Diego,"Stylish Messenger Bag made from high-quality materials, perfect for carrying laptops and documents. Suitable for work and casual use."
Tote Bag,66.0,Bags,San Diego,"Spacious Tote Bag with a modern design, ideal for shopping and daily use. Made from durable fabric."
Duffel Bag,149.65,Bags,Phoenix,Large Duffel Bag perfect for gym sessions and weekend trips. Features multiple pockets and a sturdy design.
Laptop Bag,69.64,Bags,Chicago,Protective Laptop Bag with padded compartments for laptops and accessories. Ideal for professionals and students.
Shoulder Bag,58.64,Bags,San Antonio,"Versatile Shoulder Bag with a sleek design, perfect for casual outings and work. Comfortable to carry and stylish."
Gym Bag,41.6,Bags,Los Angeles,Compact Gym Bag with enough space for gym essentials. Lightweight and easy to carry.
Travel Backpack,113.05,Bags,Philadelphia,"Travel Backpack with ample storage and ergonomic design, ideal for long trips and adventures. Features multiple compartments."
Sling Bag,136.81,Bags,Philadelphia,"Convenient Sling Bag for easy access to essentials, perfect for travel and everyday use. Lightweight and stylish."
Briefcase,133.24,Bags,Houston,"Classic Briefcase made from premium leather, offering a professional look and great functionality. Suitable for business use."
Crossbody Bag,148.85,Bags,Phoenix,"Trendy Crossbody Bag with adjustable straps, perfect for casual outings and travel. Stylish and practical."
Camera Bag,37.26,Bags,Chicago,Protective Camera Bag with padded compartments for camera gear. Ideal for photographers on the go.
Drawstring Bag,44.17,Bags,Los Angeles,"Lightweight Drawstring Bag, perfect for carrying sports gear and essentials. Easy to use and convenient."
Handbag,84.61,Bags,Philadelphia,"Elegant Handbag with a stylish design, suitable for formal and casual occasions. Made from high-quality materials."
Beach Bag,85.36,Bags,San Diego,"Spacious Beach Bag with a waterproof design, ideal for beach trips and outdoor activities. Durable and stylish."
Hiking Backpack,37.31,Bags,Chicago,Rugged Hiking Backpack with multiple compartments and sturdy design. Perfect for hiking and outdoor adventures.
School Bag,128.52,Bags,Los Angeles,Durable School Bag with plenty of storage for books and school supplies. Comfortable straps and ergonomic design.
Waist Bag,100.63,Bags,Philadelphia,"Compact Waist Bag for easy access to essentials, ideal for travel and outdoor activities. Lightweight and practical."
Diaper Bag,63.31,Bags,Los Angeles,Functional Diaper Bag with multiple compartments for baby essentials. Stylish and easy to carry.
Clutch,53.17,Bags,Phoenix,"Chic Clutch with an elegant design, perfect for parties and formal events. Made from high-quality materials."
